,text,dic_rounded,lsvc,knn,mnb,lsvc_bin,knn_bin,mnb_bin
176,RT @ErenJaeger95: Normalement #2017LeDébat aurait dû ce passé comme ça 😭😭😭😭 ,1,2,2,2,0,1,0
177,RT @EmmanuelMacron: #2017LeDébat en 5 minutes ! ,Nan,2,2,2,1,0,1
178,RT @deleteitugly: Meilleur moment du débat #2017LeDebat ,Nan,2,2,1,1,1,1
179,RT @ErenJaeger95: Normalement #2017LeDébat aurait dû ce passé comme ça 😭😭😭😭 ,1,2,2,2,0,1,0
180,RT @Freezze: RT si t'as rien compris. #2017LeDebat ,0,2,2,2,0,1,0
181,RT @ErenJaeger95: Normalement #2017LeDébat aurait dû ce passé comme ça 😭😭😭😭 ,1,2,2,2,0,1,0
182,"RT @JulienWagner1: Comment peut-on qualifier #2017LeDebat de ""pire de la Ve Répu""? @EmmanuelMacron a réussi en 2h ce qu'aucun politique n'a… ",1,2,2,0,0,0,0
183,"RT @EmmanuelMacron: Madame Le Pen , la France mérite mieux que vous. #2017LeDébat ",1,1,2,1,1,1,1
184,RT @Sylvqin: T'as pas besoin de parler de ton programme si t'insultes l'autre candidat pendant 3h #2017LeDébat ,Nan,2,2,2,0,1,0
185,RT @EmmanuelMacron: #2017LeDébat en 5 minutes ! ,Nan,2,2,2,1,0,1
186,RT @deleteitugly: Meilleur moment du débat #2017LeDebat ,Nan,2,2,1,1,1,1
187,RT @ErenJaeger95: Normalement #2017LeDébat aurait dû ce passé comme ça 😭😭😭😭 ,1,2,2,2,0,1,0
188,RT @Sylvqin: TOP MARINE A DIT ISLAM RECORD BATTU #2017LeDébat ,Nan,2,2,2,0,1,0
