,text,lsvc,knn,mnb,lsvc_bin,knn_bin,mnb_bin,dic_rounded,media_tri,media_bin,total
143,"RT @nlt56lorient: En 40"" , @EmmanuelMacron a démontré qu'il a mieux compris que @MLP_officiel ce qu'est la France ! #2017LeDebat ",2,2,2,0,0,0,1,2,0,-
144,RT @nlt56lorient: #2017LeDebat Seul Macron fait des propositions. S'il continue il va parvenir à convaincre Le Pen de voter pour lui ! ,2,2,2,1,0,1,1,2,1,1
145,"RT @nlt56lorient: Le Pen menteuse , ignorante , malhonnête face à Macron subtil , responsable , réaliste #2017LeDebat #JeVoteMacron #lependegage ",2,2,2,0,0,1,Nan,2,0,Neu
146,RT @nlt56lorient: #2017LeDebat Seul Macron fait des propositions. S'il continue il va parvenir à convaincre Le Pen de voter pour lui ! ,2,2,2,1,0,1,1,2,1,1
147,RT @CdeLagarde: #Macron qui évoque les voyous qui ne portent pas leur ceinture ?Et si on sanctionnait les voyous qui bloquent l'autoroute… ,2,2,2,0,1,0,Nan,2,0,Neu
148,"RT @marouchka_b: Au-delà d idées politiques , on peut louer le sang froid de @EmmanuelMacron face à #MLP. Il peut recevoir les codes nucléai… ",2,2,2,0,1,0,1,2,0,-
149,"RT @LNatacha56: ""A chaque délit , il faut une sanction pénale"". Quel humour cette #MarineLePen ! Et si on parlait immunité parlementaire ?… ",2,2,2,0,0,0,1,2,0,-
150,RT @mbed35260: Elle va péter les plombs à la fin... #2017LeDebat ,2,2,2,0,0,0,1,2,0,-
151,RT @nlt56lorient: #2017LeDebat Seul Macron fait des propositions. S'il continue il va parvenir à convaincre Le Pen de voter pour lui ! ,2,2,2,1,0,1,1,2,1,1
152,"RT @nlt56lorient: Le Pen menteuse , ignorante , malhonnête face à Macron subtil , responsable , réaliste #2017LeDebat #JeVoteMacron #lependegage ",2,2,2,0,0,1,Nan,2,0,Neu
153,Quand t'essayes de faire un peu de veille sur Twitter ce matin mais qu'en fait non #2017LeDebat ,2,2,0,0,0,0,0,1,0,0
